scenario,probe,count,successes,failures,p95_ms,max_ms
cpu,ssh_managed_session,20,20,0,74.034,140.513
cpu,diagnostic_read_only,20,20,0,78.048,170.938
cpu,docker_list_read_only,20,20,0,88.592,103.666
cpu,guardian_observe_once,20,20,0,1840.894,2160.584
memory,ssh_managed_session,20,20,0,111.720,647.522
memory,diagnostic_read_only,20,20,0,105.510,231.602
memory,docker_list_read_only,20,20,0,128.230,526.189
memory,guardian_observe_once,20,20,0,2172.454,2270.119
io,ssh_managed_session,20,20,0,86.828,107.852
io,diagnostic_read_only,20,20,0,94.839,111.445
io,docker_list_read_only,20,20,0,100.547,108.151
io,guardian_observe_once,20,20,0,1885.164,2163.333
capacity_inode,ssh_managed_session,20,20,0,161.439,223.353
capacity_inode,diagnostic_read_only,20,20,0,84.989,102.343
capacity_inode,docker_list_read_only,20,20,0,91.789,98.578
capacity_inode,guardian_observe_once,20,20,0,1886.235,2209.781
pid,ssh_managed_session,20,20,0,143.870,196.644
pid,diagnostic_read_only,20,20,0,80.993,113.013
pid,docker_list_read_only,20,20,0,85.686,97.747
pid,guardian_observe_once,20,20,0,1890.868,2167.972
