test,scenario,metric,value,ssh_ok,notes
F1,multi_container_mem,containers,4,yes,each eating 1.2GB
F1,multi_container_mem,peak_mem_pct,94,yes,memory pressure high
F1,multi_container_mem,peak_swap_pct,85,yes,swap active
F1,multi_container_mem,total_container_mem,~4.8GB_requested,yes,all containers survived
F1,multi_container_mem,ssh_range_ms,118-480,yes,never failed
F1,multi_container_mem,oom_killed,all_false,yes,kernel managed via swap
F2,io_saturation,fio_workers,4,yes,random 4K rw iodepth=32
F2,io_saturation,io_psi_avg10,0.10,yes,WSL2 NVMe too fast to saturate
F2,io_saturation,ssh_range_ms,159-586,yes,peak latency higher than CPU/MEM tests
F2,io_saturation,peak_load,2.09,yes,moderate load
F3a,pid_no_limit,total_processes,12051,yes,4x3000+64 baseline
F3a,pid_no_limit,system_pid_max,4194304,yes,12K = only 0.3% of limit
F3a,pid_no_limit,memory_pct,57,yes,12000 sleep processes use ~1.7GB
F3a,pid_no_limit,ssh_range_ms,117-390,yes,never failed
F3b,pid_with_limit,docker_pids_limit,100,yes,effective protection
F3b,pid_with_limit,total_processes,438,yes,contained within limits
F3b,pid_with_limit,exec_blocked,true,yes,containers at PID limit could not exec
F3b,pid_with_limit,ssh_range_ms,128-308,yes,normal response
