metric,value_seconds,description
time_to_warning,110,Leak start to 70% threshold (advance warning time)
time_to_critical,141,Leak start to 85% threshold (time window for action)
locate_latency,0,docker stats query to identify culprit (instant)
action_latency_docker_stop,13,docker stop (SIGTERM graceful + SIGKILL)
action_latency_docker_kill_est,1-2,docker kill (immediate SIGKILL, estimated)
recovery_latency,2,Memory returns to normal after container stopped
total_response_time,15,Critical detection to full recovery
full_pipeline_time,156,Leak start to full recovery
leak_rate,20,MB per second of memory consumption
mem_at_start,590,MB (15%)
mem_at_warning,2752,MB (70%)
mem_at_critical,3345,MB (85%)
mem_after_recovery,558,MB (14%)
