unix_time,iteration,mem_available_kb,service_alive,health_response,target_state
1789822159,1,3551448,1,health-ok,running/0
1789822159,2,3484592,1,health-ok,running/0
1789822160,3,3342208,1,health-ok,running/0
1789822160,4,3228532,1,health-ok,running/0
1789822161,5,3094148,1,health-ok,running/0
1789822161,6,2964232,1,health-ok,running/0
1789822162,7,2831880,1,health-ok,running/0
1789822162,8,2778592,1,health-ok,running/0
1789822163,9,2653472,1,health-ok,running/0
1789822164,10,2519492,1,health-ok,running/0
1789822164,11,2412536,1,health-ok,running/0
1789822165,12,2322728,1,health-ok,running/0
1789822165,13,2188316,1,health-ok,running/0
1789822166,14,2057936,1,health-ok,running/0
1789822166,15,1927524,1,health-ok,running/0
1789822167,16,1823048,1,health-ok,running/0
1789822167,17,1725424,1,health-ok,running/0
1789822168,18,1598084,1,health-ok,running/0
1789822169,19,1507964,1,health-ok,running/0
1789822169,20,1396712,1,health-ok,running/0
1789822170,21,1261548,1,health-ok,running/0
1789822170,22,1168660,1,health-ok,running/0
1789822171,23,1073556,1,health-ok,running/0
1789822171,24,940652,1,health-ok,running/0
1789822172,25,810752,1,health-ok,running/0
1789822172,26,705260,1,health-ok,running/0
1789822173,27,585208,1,health-ok,running/0
1789822173,28,436480,1,health-ok,running/0
1789822174,29,348884,1,health-ok,running/0
1789822175,30,222628,1,health-ok,running/0
1789822175,31,100092,1,health-ok,running/0
