scenario,probe,before_p95_ms,after_p95_ms,before_successes,after_successes
idle,ssh_managed_session,70.734,145.545,20,20
idle,diagnostic_read_only,73.140,73.965,20,20
idle,docker_list_read_only,73.469,68.473,20,20
idle,guardian_observe_once,99.206,101.282,20,20
cpu,ssh_managed_session,75.014,54.619,20,20
cpu,diagnostic_read_only,93.831,54.207,20,20
cpu,docker_list_read_only,108.298,57.513,20,20
cpu,guardian_observe_once,155.836,88.708,20,20
memory,ssh_managed_session,77.940,79.670,20,20
memory,diagnostic_read_only,85.467,81.438,20,20
memory,docker_list_read_only,79.441,76.507,20,20
memory,guardian_observe_once,125.556,111.603,20,20
io,ssh_managed_session,82.233,69.112,20,20
io,diagnostic_read_only,95.004,75.040,20,20
io,docker_list_read_only,97.440,85.583,20,20
io,guardian_observe_once,133.935,116.248,20,20
tasks,ssh_managed_session,79.955,53.660,20,20
tasks,diagnostic_read_only,61.494,57.743,20,20
tasks,docker_list_read_only,70.890,59.826,20,20
tasks,guardian_observe_once,134.664,88.370,20,20
