scenario,probe,count,successes,failures,p95_ms,max_ms
idle-baseline,ssh_managed_session,20,20,0,93.326,168.528
idle-baseline,diagnostic_read_only,20,20,0,74.440,75.051
idle-baseline,docker_list_read_only,20,20,0,88.996,182.481
idle-baseline,guardian_observe_once,20,20,0,1900.716,2164.431
cpu-workload-slice,ssh_managed_session,20,20,0,112.968,195.073
cpu-workload-slice,diagnostic_read_only,20,20,0,80.316,101.426
cpu-workload-slice,docker_list_read_only,20,20,0,89.621,91.466
cpu-workload-slice,guardian_observe_once,20,20,0,1918.880,2128.587
memory-workload-slice,ssh_managed_session,20,20,0,145.506,190.358
memory-workload-slice,diagnostic_read_only,20,20,0,80.784,93.540
memory-workload-slice,docker_list_read_only,20,20,0,84.212,94.908
memory-workload-slice,guardian_observe_once,20,20,0,1925.663,2068.655
io-workload-slice,ssh_managed_session,20,20,0,90.095,121.971
io-workload-slice,diagnostic_read_only,20,20,0,76.691,77.535
io-workload-slice,docker_list_read_only,20,20,0,96.290,237.298
io-workload-slice,guardian_observe_once,20,20,0,1786.785,1790.460
tasks-workload-slice,ssh_managed_session,20,20,0,103.891,124.113
tasks-workload-slice,diagnostic_read_only,20,20,0,91.279,95.822
tasks-workload-slice,docker_list_read_only,20,20,0,96.667,109.901
tasks-workload-slice,guardian_observe_once,20,20,0,1887.946,1889.609
