epoch_s	rss_kib	cpu_percent	fds	threads
1790057936.242	26004		4	1
1790057941.243	26004	0.0	7	1
1790057946.243	26004	0.0	4	1
1790057951.244	26004	0.0	4	1
1790057956.244	26004	0.0	7	1
1790057961.245	26004	0.0	4	1
1790057966.245	26004	0.2	4	1
1790057971.246	26004	0.0	4	1
1790057976.247	26004	0.0	7	1
1790057981.247	26004	0.0	4	1
1790057986.248	26004	0.0	4	1
1790057991.249	26004	0.0	7	1
1790057996.249	26008	0.0	4	1
1790058001.250	26008	0.0	4	1
1790058006.251	26008	0.2	4	1
1790058011.251	26008	0.0	7	1
1790058016.252	26008	0.0	4	1
1790058021.253	26008	0.0	4	1
1790058026.253	26008	0.0	7	1
1790058031.254	26008	0.0	4	1
1790058036.255	26008	0.0	4	1
1790058041.255	26008	0.0	4	1
1790058046.256	26008	0.0	7	1
1790058051.257	26008	0.2	4	1
1790058056.258	26008	0.0	4	1
1790058061.258	26008	0.0	7	1
1790058066.259	26008	0.2	4	1
1790058071.260	26008	0.0	4	1
1790058076.260	26008	0.0	7	1
1790058081.261	26008	0.0	4	1
1790058086.262	26008	0.0	4	1
1790058091.262	26008	0.2	4	1
1790058096.263	26008	0.0	7	1
1790058101.263	26008	0.0	4	1
1790058106.264	26008	0.0	4	1
1790058111.265	26008	0.0	7	1
1790058116.265	26008	0.0	4	1
1790058121.266	26008	0.0	4	1
1790058126.266	26008	0.0	4	1
1790058131.267	26008	0.0	7	1
1790058136.268	26008	0.0	4	1
1790058141.269	26008	0.2	4	1
1790058146.269	26008	0.0	7	1
1790058151.270	26008	0.0	4	1
1790058156.271	26008	0.0	4	1
1790058161.271	26008	0.0	4	1
1790058166.272	26008	0.0	7	1
1790058171.273	26008	0.0	4	1
1790058176.273	26008	0.401	4	1
1790058181.274	26008	0.0	7	1
1790058186.275	26008	0.0	4	1
1790058191.275	26008	0.0	4	1
1790058196.276	26008	0.0	4	1
1790058201.277	26008	0.0	7	1
1790058206.277	26008	0.0	4	1
1790058211.278	26008	0.0	4	1
1790058216.278	26008	0.0	7	1
1790058221.280	26008	0.0	4	1
1790058226.281	26008	0.0	4	1
1790058231.281	26008	0.0	7	1
1790058236.282	26008	0.2	4	1
1790058241.283	26008	0.0	4	1
1790058246.284	26008	0.0	4	1
1790058251.285	26008	0.0	7	1
1790058256.285	26008	0.0	4	1
1790058261.286	26008	0.0	4	1
1790058266.287	26008	0.0	7	1
1790058271.287	26008	0.0	4	1
1790058276.288	26008	0.0	4	1
1790058281.289	26008	0.2	4	1
1790058286.290	26008	0.0	7	1
1790058291.291	26008	0.0	4	1
1790058296.291	26008	0.2	4	1
1790058301.292	26008	0.0	7	1
1790058306.293	26008	0.0	4	1
1790058311.293	26008	0.0	4	1
1790058316.294	26008	0.0	4	1
1790058321.294	26004	0.0	7	1
1790058326.295	26004	0.0	4	1
1790058331.296	26004	0.0	4	1
1790058336.296	26004	0.0	7	1
1790058341.297	26004	0.0	4	1
1790058346.298	26004	0.0	4	1
1790058351.298	26004	0.2	4	1
1790058356.299	26004	0.0	7	1
1790058361.299	26004	0.0	4	1
1790058366.300	26004	0.0	4	1
1790058371.301	26004	0.0	7	1
1790058376.301	26004	0.0	4	1
1790058381.302	26000	0.0	4	1
1790058386.303	26000	0.0	7	1
1790058391.304	26000	0.2	4	1
1790058396.304	26000	0.0	4	1
1790058401.306	26000	0.0	4	1
1790058406.306	26000	0.0	7	1
1790058411.307	25880	0.2	4	1
1790058416.308	25880	0.0	4	1
1790058421.308	25880	0.0	7	1
1790058426.309	25880	0.0	4	1
1790058431.309	25880	0.0	4	1
1790058436.310	25880	0.0	4	1
1790058441.311	25428	0.0	7	1
1790058446.312	25492	0.0	4	1
1790058451.312	25492	0.2	4	1
1790058456.313	25492	0.0	7	1
1790058461.314	25492	0.0	4	1
1790058466.314	25492	0.0	4	1
1790058471.315	25492	0.0	4	1
1790058476.316	25492	0.0	7	1
1790058481.316	25492	0.0	4	1
1790058486.317	25492	0.2	4	1
1790058491.318	25492	0.0	7	1
1790058496.318	25492	0.0	4	1
1790058501.319	25492	0.0	4	1
1790058506.319	25492	0.0	4	1
1790058511.320	25492	0.0	7	1
1790058516.321	25492	0.0	4	1
1790058521.321	25492	0.2	4	1
1790058526.322	25492	0.0	7	1
1790058531.323	25492	0.2	4	1
1790058536.323	25492	0.0	4	1
1790058541.324	25492	0.0	7	1
1790058546.325	25492	0.0	4	1
1790058551.326	25492	0.0	4	1
1790058556.327	25492	0.0	4	1
1790058561.328	25492	0.2	7	1
1790058566.328	25492	0.0	4	1
1790058571.329	25492	0.0	4	1
1790058576.330	25492	0.0	7	1
1790058581.331	25492	0.0	4	1
1790058586.331	25492	0.0	4	1
1790058591.332	25492	0.0	4	1
1790058596.333	25492	0.0	7	1
1790058601.334	25492	0.0	4	1
1790058606.334	25492	0.2	4	1
1790058611.335	25492	0.0	7	1
1790058616.336	25492	0.0	4	1
1790058621.336	25492	0.0	4	1
1790058626.337	25492	0.0	4	1
1790058631.338	25492	0.0	7	1
1790058636.338	25492	0.2	4	1
1790058641.339	25492	0.0	4	1
1790058646.340	25492	0.0	7	1
1790058651.340	25492	0.0	4	1
1790058656.341	25492	0.2	4	1
1790058661.342	25492	0.0	4	1
1790058666.342	25492	0.0	7	1
1790058671.343	25492	0.0	4	1
1790058676.344	25492	0.0	4	1
1790058681.344	25492	0.0	7	1
1790058686.345	25492	0.0	4	1
1790058691.346	25492	0.0	4	1
1790058696.346	25492	0.0	7	1
1790058701.347	25492	0.0	4	1
1790058706.347	25492	0.0	4	1
1790058711.348	25492	0.0	4	1
1790058716.349	25492	0.0	7	1
1790058721.349	25492	0.2	4	1
1790058726.350	25492	0.0	4	1
1790058731.351	25492	0.0	7	1
1790058736.351	25492	0.0	4	1
1790058741.352	25492	0.2	4	1
1790058746.353	25492	0.0	4	1
1790058751.354	25492	0.0	7	1
1790058756.354	25492	0.0	4	1
1790058761.355	25492	0.0	4	1
1790058766.356	25492	0.0	7	1
1790058771.357	25492	0.0	4	1
1790058776.358	25492	0.2	4	1
1790058781.358	25492	0.0	4	1
1790058786.359	25492	0.0	7	1
1790058791.360	25492	0.2	4	1
1790058796.361	25492	0.0	4	1
1790058801.362	25492	0.0	7	1
1790058806.362	25492	0.0	4	1
1790058811.363	25492	0.0	4	1
1790058816.364	25492	0.0	4	1
1790058821.365	25492	0.0	7	1
1790058826.365	25492	0.2	4	1
1790058831.366	25492	0.0	4	1
