epoch_s	rss_kib	cpu_percent	fds	threads
1790057936.241	29732		3	3
1790057941.242	29732	0.2	4	3
1790057946.243	29764	0.2	3	3
1790057951.243	29768	0.4	3	3
1790057956.244	29768	0.2	4	3
1790057961.245	29768	0.2	3	3
1790057966.245	29768	0.2	3	3
1790057971.246	29772	0.2	3	3
1790057976.247	29772	0.2	4	3
1790057981.247	29772	0.401	3	3
1790057986.248	29772	0.2	3	3
1790057991.249	29772	0.2	4	3
1790057996.250	29776	0.2	3	3
1790058001.250	29776	0.2	3	3
1790058006.251	29780	0.401	3	3
1790058011.251	29780	0.2	4	3
1790058016.252	29780	0.4	3	3
1790058021.253	29780	0.2	3	3
1790058026.254	29780	0.2	4	3
1790058031.254	29784	0.0	3	3
1790058036.255	29784	0.4	3	3
1790058041.255	29788	0.2	3	3
1790058046.256	29788	0.2	4	3
1790058051.257	29788	0.401	3	3
1790058056.258	29788	0.2	3	3
1790058061.258	29788	0.2	4	3
1790058066.259	29788	0.2	3	3
1790058071.260	29788	0.4	3	3
1790058076.260	29788	0.2	4	3
1790058081.261	29788	0.2	3	3
1790058086.262	29788	0.2	3	3
1790058091.262	29788	0.4	3	3
1790058096.263	29788	0.0	4	3
1790058101.263	29788	0.4	3	3
1790058106.264	29788	0.4	3	3
1790058111.265	29788	0.0	4	3
1790058116.265	29788	0.2	3	3
1790058121.266	29788	0.2	3	3
1790058126.266	29788	0.4	3	3
1790058131.267	29788	0.2	4	3
1790058136.268	29788	0.4	3	3
1790058141.269	29788	0.2	3	3
1790058146.269	29788	0.2	4	3
1790058151.270	29788	0.2	3	3
1790058156.271	29788	0.401	3	3
1790058161.271	29788	0.2	3	3
1790058166.272	29788	0.401	4	3
1790058171.273	29788	0.2	3	3
1790058176.273	29788	0.2	3	3
1790058181.274	29788	0.2	4	3
1790058186.275	29788	0.401	3	3
1790058191.276	29788	0.0	3	3
1790058196.276	29788	0.4	3	3
1790058201.277	29788	0.2	4	3
1790058206.277	29788	0.4	3	3
1790058211.278	29788	0.2	3	3
1790058216.278	29788	0.2	4	3
1790058221.279	29788	0.2	3	3
1790058226.280	29788	0.4	3	3
1790058231.281	29788	0.2	4	3
1790058236.282	29788	0.2	3	3
1790058241.282	29788	0.0	3	3
1790058246.284	29792	0.4	3	3
1790058251.285	29792	0.2	4	3
1790058256.285	29792	0.2	3	3
1790058261.286	29792	0.4	3	3
1790058266.287	29792	0.2	4	3
1790058271.287	29792	0.2	3	3
1790058276.288	29792	0.2	3	3
1790058281.289	29792	0.2	3	3
1790058286.290	29792	0.4	4	3
1790058291.291	29796	0.2	3	3
1790058296.291	29796	0.2	3	3
1790058301.292	29796	0.2	4	3
1790058306.292	29796	0.4	3	3
1790058311.293	29796	0.2	3	3
1790058316.294	29796	0.2	3	3
1790058321.294	29792	0.2	4	3
1790058326.295	29792	0.2	3	3
1790058331.296	29792	0.4	3	3
1790058336.296	29792	0.2	4	3
1790058341.297	29792	0.2	3	3
1790058346.298	29792	0.2	3	3
1790058351.298	29792	0.4	3	3
1790058356.299	29792	0.0	4	3
1790058361.302	29792	0.2	3	3
1790058366.303	29792	0.4	3	3
1790058371.303	29792	0.2	4	3
1790058376.304	29792	0.2	3	3
1790058381.305	29788	0.2	3	3
1790058386.305	29788	0.0	4	3
1790058391.306	29788	0.401	3	3
1790058396.306	29788	0.2	3	3
1790058401.307	29788	0.4	3	3
1790058406.307	29788	0.2	4	3
1790058411.308	29668	0.2	3	3
1790058416.308	29668	0.4	3	3
1790058421.308	29668	0.0	4	3
1790058426.309	29668	0.4	3	3
1790058431.310	29668	0.0	3	3
1790058436.310	29668	0.4	3	3
1790058441.311	29216	0.2	4	3
1790058446.312	29352	0.2	3	3
1790058451.312	29352	0.2	3	3
1790058456.313	29352	0.2	4	3
1790058461.314	29352	0.601	3	3
1790058466.314	29352	0.2	3	3
1790058471.315	29352	0.2	3	3
1790058476.316	29352	0.2	4	3
1790058481.316	29352	0.2	3	3
1790058486.317	29352	0.2	3	3
1790058491.318	29352	0.2	4	3
1790058496.319	29352	0.4	3	3
1790058501.319	29352	0.2	3	3
1790058506.320	29352	0.2	3	3
1790058511.320	29352	0.4	4	3
1790058516.321	29352	0.0	3	3
1790058521.322	29352	0.4	3	3
1790058526.323	29352	0.2	4	3
1790058531.323	29352	0.2	3	3
1790058536.324	29352	0.4	3	3
1790058541.324	29352	0.2	4	3
1790058546.326	29352	0.2	3	3
1790058551.326	29352	0.2	3	3
1790058556.327	29352	0.4	3	3
1790058561.328	29352	0.0	4	3
1790058566.328	29352	0.4	3	3
1790058571.329	29352	0.2	3	3
1790058576.330	29352	0.2	4	3
1790058581.331	29352	0.2	3	3
1790058586.331	29352	0.4	3	3
1790058591.332	29352	0.2	3	3
1790058596.333	29352	0.2	4	3
1790058601.334	29352	0.2	3	3
1790058606.334	29352	0.2	3	3
1790058611.335	29352	0.2	4	3
1790058616.336	29352	0.401	3	3
1790058621.336	29352	0.4	3	3
1790058626.337	29352	0.2	3	3
1790058631.338	29352	0.2	4	3
1790058636.338	29352	0.2	3	3
1790058641.339	29352	0.2	3	3
1790058646.340	29352	0.2	4	3
1790058651.340	29352	0.2	3	3
1790058656.341	29352	0.4	3	3
1790058661.342	29352	0.2	3	3
1790058666.342	29352	0.2	4	3
1790058671.343	29352	0.2	3	3
1790058676.344	29352	0.4	3	3
1790058681.344	29352	0.2	4	3
1790058686.345	29352	0.2	3	3
1790058691.346	29352	0.4	3	3
1790058696.346	29352	0.2	4	3
1790058701.347	29352	0.2	3	3
1790058706.348	29352	0.2	3	3
1790058711.348	29352	0.2	3	3
1790058716.349	29352	0.4	4	3
1790058721.349	29352	0.2	3	3
1790058726.350	29352	0.2	3	3
1790058731.351	29352	0.2	4	3
1790058736.351	29352	0.2	3	3
1790058741.352	29352	0.4	3	3
1790058746.353	29352	0.2	3	3
1790058751.354	29352	0.2	4	3
1790058756.354	29352	0.4	3	3
1790058761.355	29352	0.2	3	3
1790058766.356	29352	0.2	4	3
1790058771.357	29352	0.2	3	3
1790058776.358	29352	0.4	3	3
1790058781.358	29352	0.2	3	3
1790058786.359	29352	0.2	4	3
1790058791.360	29356	0.2	3	3
1790058796.361	29356	0.2	3	3
1790058801.362	29356	0.2	4	3
1790058806.362	29356	0.4	3	3
1790058811.363	29356	0.2	3	3
1790058816.364	29356	0.2	3	3
1790058821.365	29356	0.2	4	3
1790058826.373	29356	0.399	3	3
1790058831.373	29356	0.199	3	3
